	STATION	DIVISION	DAILY COUNTS	DAILY EXITS	Division	Stop Name	Station ID	Complex ID	GTFS Stop ID	Line	Borough	Daytime Routes	Structure	GTFS Latitude	GTFS Longitude
179	GRAHAM AV	BMT	179867.0	122370.0	BMT	Graham Av	122.0	122.0	L11	Canarsie	Bk	L	Subway	40.714565	-73.944053
180	157 ST	IRT	178968.0	120907.0	IRT	157 St	303.0	303.0	113	Broadway - 7Av	M	1	Subway	40.834041	-73.94489
181	HUNTS POINT AV	IRT	178492.0	151668.0	IRT	Hunts Point Av	371.0	371.0	613	Pelham	Bx	6	Subway	40.820948	-73.890549
182	CHAMBERS ST	BMT	178467.0	226187.0	BMT	Chambers St	105.0	622.0	M21	Jamaica	M	J Z	Subway	40.713243	-74.003401
183	EUCLID AV	IND	177566.0	57230.0	IND	Euclid Av	188.0	188.0	A55	8th Av - Fulton St	Bk	A C	Subway	40.675377000000005	-73.872106
184	181 ST	IRT	177517.0	195115.0	IRT	181 St	301.0	301.0	111	Broadway - 7Av	M	1	Subway	40.849505	-73.933596
185	CENTRAL PK N110	IRT	173241.0	144378.0	IRT	Central Park North (110 St)	441.0	441.0	227	Lenox - White Plains Rd	M	2 3	Subway	40.799075	-73.95182199999999
186	167 ST	IND	173047.0	83873.0	IND	167 St	218.0	218.0	D10	Concourse	Bx	B D	Subway	40.833771	-73.91844
187	40 ST LOWERY ST	IRT	172969.0	152781.0	IRT	40 St	459.0	459.0	715	Flushing	Q	7	Elevated	40.743781	-73.92401600000001
188	GREENPOINT AV	IND	172205.0	125843.0	IND	Greenpoint Av	283.0	283.0	G26	Crosstown	Bk	G	Subway	40.731352	-73.954449
189	BURNSIDE AV	IRT	171873.0	97542.0	IRT	Burnside Av	384.0	384.0	409	Jerome Av	Bx	4	Elevated	40.853453	-73.907684
190	METROPOLITAN AV	IND	169052.0	114891.0	IND	Metropolitan Av	285.0	629.0	G29	Crosstown	Bk	G	Subway	40.712792	-73.951418
